tconst,p1,p2,p3,p4,p5,p6
tt0090728,0,0,0,0,0,0
tt0090605,0,0,0,0,0,0
tt0093578,0,0,0,0,0,0
tt0093185,0,0,0,0,0,0
tt0094025,0,0,0,0,0,0
tt0093137,0,0,0,0,0,0
tt0093560,0,0,0,0,0,0
tt0093605,0,0,0,0,0,0
tt0093640,0,0,0,0,0,0
tt0093507,0,0,0,0,0,0
tt0094074,0,0,0,0,0,0
tt0093692,0,0,0,0,0,0
tt0093260,0,0,0,0,0,0
tt0093428,0,0,0,0,0,0
tt0092644,0,0,0,0,0,0
tt0093894,0,0,0,0,0,0
tt0093870,0,0,0,0,0,0
tt0093409,0,0,0,0,0,0
tt0093773,0,0,0,0,0,0
tt0095583,0,0,0,0,0,0
tt0094631,0,0,0,0,0,0
tt0095655,0,0,0,0,0,0
tt0095897,0,0,0,0,0,0
tt0095403,0,0,0,0,0,0
tt0094894,0,0,0,0,0,0
tt0094602,0,0,0,0,0,0
tt0094963,0,0,0,0,0,0
tt0092493,0,0,0,0,0,0
tt0096487,0,0,0,0,0,0
tt0095963,0,0,0,0,0,0
tt0095631,0,0,0,0,0,0
tt0092675,0,0,0,0,0,0
tt0096446,0,0,0,0,0,0
tt0096256,0,0,0,0,0,0
tt0095956,0,0,0,0,0,0
tt0094625,0,0,0,0,0,0
tt0096945,0,0,0,0,0,0
tt0098622,0,0,0,0,0,0
tt0098141,0,0,0,0,0,0
tt0097499,0,0,0,0,0,0
tt0097138,0,0,0,0,0,0
tt0097637,0,0,0,0,0,0
tt0097770,0,0,0,0,0,0
tt0097202,0,0,0,0,0,0
tt0097647,0,0,0,0,0,0
tt0097659,0,0,0,0,0,0
tt0096933,0,0,0,0,0,0
tt0098382,0,0,0,0,0,0
tt0098206,0,0,0,0,0,0
tt0097742,0,0,0,0,0,0
tt0098439,0,0,0,0,0,0
tt0097733,0,0,0,0,0,0
tt0097428,0,0,0,0,0,0
tt0096895,0,0,0,0,0,0
tt0097576,0,0,0,0,0,0
tt0100232,0,0,0,0,0,0
tt0100485,0,0,0,0,0,0
tt0099385,0,0,0,0,0,0
tt0098987,0,0,0,0,0,0
tt0100260,0,0,0,0,0,0
tt0102744,0,0,0,0,0,0
tt0100114,0,0,0,0,0,0
tt0100685,0,0,0,0,0,0
tt0100135,0,0,0,0,0,0
tt0100514,0,0,0,0,0,0
tt0100133,0,0,0,0,0,0
tt0099005,0,0,0,0,0,0
tt0099739,0,0,0,0,0,0
tt0100994,0,0,0,0,0,0
tt0100029,0,0,0,0,0,0
tt0099044,0,0,0,0,0,0
tt0099141,0,0,0,0,0,0
tt0099422,0,0,0,0,0,0
tt0099365,0,0,0,0,0,0
tt0100263,0,0,0,0,0,0
tt0099371,0,0,0,0,0,0
tt0100502,0,0,0,0,0,0
tt0100758,0,0,0,0,0,0
tt0100403,0,0,0,0,0,0
tt0099810,0,0,0,0,0,0
tt0100802,0,0,0,0,0,0
tt0099423,0,0,0,0,0,0
tt0102789,0,0,0,0,0,0
tt0102915,0,0,0,0,0,0
tt0103285,0,0,0,0,0,0
tt0102004,0,0,0,0,0,0
tt0099558,0,0,0,0,0,0
tt0102005,0,0,0,0,0,0
tt0103112,0,0,0,0,0,0
tt0102614,0,0,0,0,0,0
tt0102526,0,0,0,0,0,0
tt0101764,0,0,0,0,0,0
tt0102034,0,0,0,0,0,0
tt0103060,0,0,0,0,0,0
tt0102070,0,0,0,0,0,0
tt0102803,0,0,0,0,0,0
tt0102975,0,0,0,0,0,0
tt0102266,0,0,0,0,0,0
tt0102059,0,0,0,0,0,0
tt0102685,0,0,0,0,0,0
tt0102798,0,0,0,0,0,0
tt0103064,0,0,0,0,0,0
tt0104299,0,0,0,0,0,0
tt0104558,0,0,0,0,0,0
tt0103596,0,0,0,0,0,0
tt0104573,0,0,0,0,0,0
tt0106950,0,0,0,0,0,0
tt0105477,0,0,0,0,0,0
tt0103893,0,0,0,0,0,0
tt0105104,0,0,0,0,0,0
tt0104684,0,0,0,0,0,0
tt0104815,0,0,0,0,0,0
tt0105690,0,0,0,0,0,0
tt0105698,0,0,0,0,0,0
tt0105112,0,0,0,0,0,0
tt0104691,0,0,0,0,0,0
tt0104714,0,0,0,0,0,0
tt0103776,0,0,0,0,0,0
tt0103644,0,0,0,0,0,0
tt0107286,0,0,0,0,0,0
tt0108148,0,0,0,0,0,0
tt0108188,0,0,0,0,0,0
tt0107711,0,0,0,0,0,0
tt0108171,0,0,0,0,0,0
tt0107843,0,0,0,0,0,0
tt0106770,0,0,0,0,0,0
tt0108308,0,0,0,0,0,0
tt0107692,0,0,0,0,0,0
tt0108238,0,0,0,0,0,0
tt0106364,0,0,0,0,0,0
tt0107969,0,0,0,0,0,0
tt0107076,0,0,0,0,0,0
tt0107659,0,0,0,0,0,0
tt0107978,0,0,0,0,0,0
tt0108333,0,0,0,0,0,0
tt0107144,0,0,0,0,0,0
tt0107206,0,0,0,0,0,0
tt0106582,0,0,0,0,0,0
tt0108358,0,0,0,0,0,0
tt0107362,0,0,0,0,0,0
tt0106697,0,0,0,0,0,0
tt0106977,0,0,0,0,0,0
tt0107290,0,0,0,0,0,0
tt0109890,0,0,0,0,0,0
tt0109402,0,0,0,0,0,0
tt0110678,0,0,0,0,0,0
tt0109676,0,0,0,0,0,0
tt0110027,0,0,0,0,0,0
tt0110725,0,0,0,0,0,0
tt0110200,0,0,0,0,0,0
tt0111143,0,0,0,0,0,0
tt0110657,0,0,0,0,0,0
tt0109303,0,0,0,0,0,0
tt0111512,0,0,0,0,0,0
tt0111301,0,0,0,0,0,0
tt0111280,0,0,0,0,0,0
tt0109254,0,0,0,0,0,0
tt0109444,0,0,0,0,0,0
